adduser	3.137ubuntu1
libde265-0:amd64	1.0.15-1build3
libdebconfclient0:amd64	0.271ubuntu3
libdebuginfod-common	0.190-1.1ubuntu0.1
libdebuginfod1t64:amd64	0.190-1.1ubuntu0.1
libdeflate0:amd64	1.19-1build1.1
libdevmapper1.02.1:amd64	2:1.02.185-3ubuntu3.2
libdpkg-perl	1.22.6ubuntu6.5
libdrm-amdgpu1:amd64	2.4.122-1~ubuntu0.24.04.1
libdrm-common	2.4.122-1~ubuntu0.24.04.1
libdrm-intel1:amd64	2.4.122-1~ubuntu0.24.04.1
libdrm-nouveau2:amd64	2.4.122-1~ubuntu0.24.04.1
libdrm-radeon1:amd64	2.4.122-1~ubuntu0.24.04.1
libdrm2:amd64	2.4.122-1~ubuntu0.24.04.1
libduktape207:amd64	2.7.0+tests-0ubuntu3
libdw1t64:amd64	0.190-1.1ubuntu0.1
libeatmydata1:amd64	131-1ubuntu1
libedit2:amd64	3.1-20230828-1build1
libefiboot1t64:amd64	38-3.1build1
libefivar1t64:amd64	38-3.1build1
libegl-mesa0:amd64	25.0.7-0ubuntu0.24.04.1
libegl1:amd64	1.7.0-1build1
libelf1t64:amd64	0.190-1.1ubuntu0.1
libencode-locale-perl	1.05-3
libepoxy0:amd64	1.5.10-1build1
liberror-perl	0.17029-2
libestr0:amd64	0.1.11-1build1
libevdev2:amd64	1.13.1+dfsg-1build1
libevent-core-2.1-7t64:amd64	2.1.12-stable-9ubuntu2
libexpat1-dev:amd64	2.6.1-2ubuntu0.3
libexpat1:amd64	2.6.1-2ubuntu0.3
libext2fs2t64:amd64	1.47.0-2.4~exp1ubuntu4.1
libfakeroot:amd64	1.33-1
libfastjson4:amd64	1.2304.0-1build1
libfdisk1:amd64	2.39.3-9ubuntu6.3
libffi-dev:amd64	3.4.6-1build1
libffi8:amd64	3.4.6-1build1
libfido2-1:amd64	1.14.0-1build3
libfile-basedir-perl	0.09-2
libfile-desktopentry-perl	0.22-3
libfile-fcntllock-perl	0.22-4ubuntu5
libfile-listing-perl	6.16-1
libfile-mimeinfo-perl	0.34-1
libflac12t64:amd64	1.4.3+ds-2.1ubuntu2
libfont-afm-perl	1.20-4
libfontconfig1:amd64	2.15.0-1.1ubuntu2
libfreetype6:amd64	2.13.2+dfsg-1build3
libfribidi0:amd64	1.0.13-3build1
libfuse3-3:amd64	3.14.0-5build1
libgbm1:amd64	25.0.7-0ubuntu0.24.04.1
libgc1:amd64	1:8.2.6-1build1
libgcc-13-dev:amd64	13.3.0-6ubuntu2~24.04
libgcc-s1:amd64	14.2.0-4ubuntu2~24.04
libgcrypt20:amd64	1.10.3-2build1
libgd3:amd64	2.3.3-9ubuntu5
libgdbm-compat4t64:amd64	1.23-5.1build1
libgdbm6t64:amd64	1.23-5.1build1
libgdk-pixbuf-2.0-0:amd64	2.42.10+dfsg-3ubuntu3.2
libgdk-pixbuf2.0-bin	2.42.10+dfsg-3ubuntu3.2
libgdk-pixbuf2.0-common	2.42.10+dfsg-3ubuntu3.2
libgif7:amd64	5.2.2-1ubuntu1
libgirepository-1.0-1:amd64	1.80.1-1
libgl1-amber-dri:amd64	21.3.9-0ubuntu2
libgl1-mesa-dri:amd64	25.0.7-0ubuntu0.24.04.1
libgl1:amd64	1.7.0-1build1
libglapi-mesa:amd64	24.0.9-0ubuntu0.3
libgles2:amd64	1.7.0-1build1
libglib2.0-0t64:amd64	2.80.0-6ubuntu3.4
libglib2.0-bin	2.80.0-6ubuntu3.4
libglib2.0-data	2.80.0-6ubuntu3.4
libglvnd0:amd64	1.7.0-1build1
libglx-mesa0:amd64	25.0.7-0ubuntu0.24.04.1
libglx0:amd64	1.7.0-1build1
libgmp10:amd64	2:6.3.0+dfsg-2ubuntu6.1
libgnutls30t64:amd64	3.8.3-1.1ubuntu3.4
libgomp1:amd64	14.2.0-4ubuntu2~24.04
libgpg-error-l10n	1.47-3build2.1
libgpg-error0:amd64	1.47-3build2.1
libgpm2:amd64	1.20.7-11
libgprofng0:amd64	2.42-4ubuntu2.5
libgraphite2-3:amd64	1.3.14-2build1
libgrpc++1.51t64:amd64	1.51.1-4.1build5
libgrpc29t64:amd64	1.51.1-4.1build5
libgssapi-krb5-2:amd64	1.20.1-6ubuntu2.6
libgstreamer1.0-0:amd64	1.24.2-1ubuntu0.1
libgtk-3-0t64:amd64	3.24.41-4ubuntu1.3
libgtk-3-bin	3.24.41-4ubuntu1.3
libgtk-3-common	3.24.41-4ubuntu1.3
libgudev-1.0-0:amd64	1:238-5ubuntu1
libharfbuzz0b:amd64	8.3.0-2build2
libheif-plugin-aomdec:amd64	1.17.6-1ubuntu4.1
libheif-plugin-aomenc:amd64	1.17.6-1ubuntu4.1
libheif-plugin-libde265:amd64	1.17.6-1ubuntu4.1
libheif1:amd64	1.17.6-1ubuntu4.1
libhogweed6t64:amd64	3.9.1-2.2build1.1
libhtml-form-perl	6.11-1
libhtml-format-perl	2.16-2
libhtml-parser-perl:amd64	3.81-1build3
libhtml-tagset-perl	3.20-6
libhtml-tree-perl	5.07-3
libhttp-cookies-perl	6.11-1
libhttp-daemon-perl	6.16-1
libhttp-date-perl	6.06-1
libhttp-message-perl	6.45-1ubuntu1
libhttp-negotiate-perl	6.01-2
libhwasan0:amd64	14.2.0-4ubuntu2~24.04
libice6:amd64	2:1.0.10-1build3
libicu-dev:amd64	74.2-1ubuntu3.1
libicu74:amd64	74.2-1ubuntu3.1
libidn2-0:amd64	2.3.7-2build1.1
libimobiledevice6:amd64	1.3.0-8.1build3
libio-html-perl	1.004-3
libio-socket-ssl-perl	2.085-1
libio-stringy-perl	2.111-3
libipc-system-simple-perl	1.30-2
libipt2	2.0.6-1build1
libisl23:amd64	0.26-3build1.1
libitm1:amd64	14.2.0-4ubuntu2~24.04
libjansson4:amd64	2.14-2build2
libjbig0:amd64	2.1-6.1ubuntu2
libjpeg-turbo8:amd64	2.1.5-2ubuntu2
libjpeg8:amd64	8c-2ubuntu11
libjq1:amd64	1.7.1-3ubuntu0.24.04.1
libjs-async	0.8.0-6
libjs-events	3.3.0+~3.0.0-3
libjs-inherits	2.0.4-6
libjs-is-typedarray	1.0.0-4
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-prettify	2015.12.04+dfsg-1.1
libjs-regenerate	1.4.2-3
libjs-source-map	0.7.0++dfsg2+really.0.6.1-15
libjs-sphinxdoc	7.2.6-6
libjs-sprintf-js	1.1.2+ds1+~1.1.2-1
libjs-typedarray-to-buffer	4.0.0-2
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjson-c5:amd64	0.17-1build1
libjson-perl	4.10000-1
libjson-xs-perl	4.040-0ubuntu0.24.04.1
libk5crypto3:amd64	1.20.1-6ubuntu2.6
libkeyutils1:amd64	1.6.3-3build1
libklibc:amd64	2.0.13-4ubuntu0.1
libkmod2:amd64	31+20240202-2ubuntu7.1
libkrb5-3:amd64	1.20.1-6ubuntu2.6
libkrb5support0:amd64	1.20.1-6ubuntu2.6
libksba8:amd64	1.6.6-1build1
liblcms2-2:amd64	2.14-2build1
libldap-common	2.6.7+dfsg-1~exp1ubuntu8.2
libldap2:amd64	2.6.7+dfsg-1~exp1ubuntu8.2
liblerc4:amd64	4.0.0+ds-4ubuntu2
liblldb-18	1:18.1.3-1ubuntu1
libllvm17t64:amd64	1:17.0.6-9ubuntu1
libllvm18:amd64	1:18.1.3-1ubuntu1
libllvm19:amd64	1:19.1.1-1ubuntu1~24.04.2
liblocale-gettext-perl	1.07-6ubuntu5
liblsan0:amd64	14.2.0-4ubuntu2~24.04
liblwp-mediatypes-perl	6.04-2
liblwp-protocol-https-perl	6.13-1
liblz4-1:amd64	1.9.4-1build1.1
liblzma5:amd64	5.6.1+really5.4.5-1ubuntu0.2
liblzo2-2:amd64	2.10-2build4
libmagic-mgc	1:5.45-3build1
libmagic1t64:amd64	1:5.45-3build1
libmailtools-perl	2.21-2
libmd0:amd64	1.1.0-2build1.1
libmnl0:amd64	1.0.5-2build1
libmount1:amd64	2.39.3-9ubuntu6.3
libmp3lame0:amd64	3.100-6build1
libmpc3:amd64	1.3.1-1build1.1
libmpfr6:amd64	4.2.1-1build1.1
libmpg123-0t64:amd64	1.32.5-1ubuntu1.1
libncurses-dev:amd64	6.4+20240113-1ubuntu2
libncurses6:amd64	6.4+20240113-1ubuntu2
libncursesw6:amd64	6.4+20240113-1ubuntu2
libnet-dbus-perl	1.2.0-2build3
libnet-http-perl	6.23-1
libnet-smtp-ssl-perl	1.04-2
libnet-ssleay-perl:amd64	1.94-1build4
libnetplan1:amd64	1.1.2-2~ubuntu24.04.2
libnettle8t64:amd64	3.9.1-2.2build1.1
libnewt0.52:amd64	0.52.24-2ubuntu2
libnghttp2-14:amd64	1.59.0-1ubuntu0.2
libnotify-bin	0.8.3-1build2
libnotify4:amd64	0.8.3-1build2
libnpth0t64:amd64	1.6-3.1build1
libnspr4:amd64	2:4.35-1.1build1
libnss-systemd:amd64	255.4-1ubuntu8.10
libnss3:amd64	2:3.98-1build1
libnuma1:amd64	2.0.18-1build1
libobjc-13-dev:amd64	13.3.0-6ubuntu2~24.04
libobjc4:amd64	14.2.0-4ubuntu2~24.04
libogg0:amd64	1.3.5-3build1
libonig5:amd64	6.9.9-1build1
libopus0:amd64	1.4-1build1
libp11-kit0:amd64	0.25.3-4ubuntu2.1
libpackagekit-glib2-18:amd64	1.2.8-2ubuntu1.2
libpam-cap:amd64	1:2.66-5ubuntu2.2
libpam-modules-bin	1.5.3-5ubuntu5.5
libpam-modules:amd64	1.5.3-5ubuntu5.5
libpam-runtime	1.5.3-5ubuntu5.5
libpam-systemd:amd64	255.4-1ubuntu8.10
libpam0g:amd64	1.5.3-5ubuntu5.5
libpango-1.0-0:amd64	1.52.1+ds-1build1
libpangocairo-1.0-0:amd64	1.52.1+ds-1build1
libpangoft2-1.0-0:amd64	1.52.1+ds-1build1
libpci3:amd64	1:3.10.0-2build1
libpciaccess0:amd64	0.17-3ubuntu0.24.04.2
libpcre2-8-0:amd64	10.42-4ubuntu2.1
libpcsclite1:amd64	2.0.3-1build1
libperl5.38t64:amd64	5.38.2-3.2ubuntu0.2
libpfm4:amd64	4.13.0+git32-g0d4ed0e-1
libpipeline1:amd64	1.5.7-2
libpixman-1-0:amd64	0.42.2-1build1
libpkgconf3:amd64	1.8.1-2build1
libplist-2.0-4:amd64	2.3.0-1~exp2build2
libpng16-16t64:amd64	1.6.43-5build1
libpolkit-agent-1-0:amd64	124-2ubuntu1.24.04.2
libpolkit-gobject-1-0:amd64	124-2ubuntu1.24.04.2
libpopt0:amd64	1.19+dfsg-1build1
libpq-dev	16.10-0ubuntu0.24.04.1
libpq5:amd64	16.10-0ubuntu0.24.04.1
libproc2-0:amd64	2:4.0.4-4ubuntu3.2
libprotobuf32t64:amd64	3.21.12-8.2ubuntu0.2
libprotoc32t64:amd64	3.21.12-8.2ubuntu0.2
libpsl5t64:amd64	0.21.2-1.1build1
libpulse0:amd64	1:16.1+dfsg1-2ubuntu10.1
libpython3-dev:amd64	3.12.3-0ubuntu2
libpython3-stdlib:amd64	3.12.3-0ubuntu2
libpython3.12-dev:amd64	3.12.3-1ubuntu0.8
libpython3.12-minimal:amd64	3.12.3-1ubuntu0.8
libpython3.12-stdlib:amd64	3.12.3-1ubuntu0.8
libpython3.12t64:amd64	3.12.3-1ubuntu0.8
libquadmath0:amd64	14.2.0-4ubuntu2~24.04
librdkafka++1:amd64	2.3.0-1build2
librdkafka-dev:amd64	2.3.0-1build2
librdkafka1:amd64	2.3.0-1build2
libre2-10:amd64	20230301-3build1
libreadline8t64:amd64	8.2-4build1
librsvg2-2:amd64	2.58.0+dfsg-1build1
librsvg2-common:amd64	2.58.0+dfsg-1build1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build7
libsasl2-2:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules:amd64	2.1.28+dfsg1-5ubuntu3.1
libseccomp2:amd64	2.5.5-1ubuntu3.1
libselinux1:amd64	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5
libsemanage2:amd64	3.5-1build5
libsensors-config	1:3.6.0-9build1
libsensors5:amd64	1:3.6.0-9build1
libsepol2:amd64	3.5-2build1
libsframe1:amd64	2.42-4ubuntu2.5
libsharpyuv0:amd64	1.3.2-0.4build3
libsigsegv2:amd64	2.14-1ubuntu2
libslang2:amd64	2.3.3-3build2
libsm6:amd64	2:1.2.3-1build3
libsmartcols1:amd64	2.39.3-9ubuntu6.3
libsndfile1:amd64	1.2.2-1ubuntu5.24.04.1
libsodium23:amd64	1.0.18-1build3
libsource-highlight-common	3.1.9-4.3build1
libsource-highlight4t64:amd64	3.1.9-4.3build1
libsqlite3-0:amd64	3.45.1-1ubuntu2.5
libss2:amd64	1.47.0-2.4~exp1ubuntu4.1
libssh-4:amd64	0.10.6-2ubuntu0.1
libssl-dev:amd64	3.0.13-0ubuntu3.6
libssl3t64:amd64	3.0.13-0ubuntu3.6
libstdc++-13-dev:amd64	13.3.0-6ubuntu2~24.04
libstdc++6:amd64	14.2.0-4ubuntu2~24.04
libstemmer0d:amd64	2.2.0-4build1
libsystemd-shared:amd64	255.4-1ubuntu8.10
libsystemd0:amd64	255.4-1ubuntu8.10
libtasn1-6:amd64	4.19.0-3ubuntu0.24.04.1
libtext-charwidth-perl:amd64	0.04-11build3
libtext-iconv-perl:amd64	1.7-8build3
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.29-2build1
libthai0:amd64	0.1.29-2build1
libtie-ixhash-perl	1.23-4
libtiff6:amd64	4.5.1+git230720-4ubuntu2.4
libtimedate-perl	2.3300-2
libtinfo6:amd64	6.4+20240113-1ubuntu2
libtirpc-common	1.3.4+ds-1.1build1
libtirpc3t64:amd64	1.3.4+ds-1.1build1
libtraceevent1:amd64	1:1.8.2-1ubuntu2.1
libtry-tiny-perl	0.31-2
libtsan2:amd64	14.2.0-4ubuntu2~24.04
libtypes-serialiser-perl	1.01-1
libubsan1:amd64	14.2.0-4ubuntu2~24.04
libuchardet0:amd64	0.0.8-1build1
libudev1:amd64	255.4-1ubuntu8.10
libunistring5:amd64	1.1-2build1.1
libunwind8:amd64	1.6.2-3build1.1
libupower-glib3:amd64	1.90.3-1
liburi-perl	5.27-1
libusb-1.0-0:amd64	2:1.0.27-1
libusbmuxd6:amd64	2.0.2-4build3
libutempter0:amd64	1.2.1-3build1
libuuid1:amd64	2.39.3-9ubuntu6.3
libuv1-dev:amd64	1.48.0-1.1build1
libuv1t64:amd64	1.48.0-1.1build1
libvorbis0a:amd64	1.3.7-1build3
libvorbisenc2:amd64	1.3.7-1build3
libvulkan1:amd64	1.3.275.0-1build1
libwayland-client0:amd64	1.22.0-2.1build1
libwayland-cursor0:amd64	1.22.0-2.1build1
libwayland-egl1:amd64	1.22.0-2.1build1
libwayland-server0:amd64	1.22.0-2.1build1
libwebp7:amd64	1.3.2-0.4build3
libwww-perl	6.76-1
libwww-robotrules-perl	6.02-1
libx11-6:amd64	2:1.8.7-1build1
libx11-data	2:1.8.7-1build1
libx11-protocol-perl	0.56-9
libx11-xcb1:amd64	2:1.8.7-1build1
libxau6:amd64	1:1.0.9-1build6
libxaw7:amd64	2:1.0.14-1build2
libxcb-dri2-0:amd64	1.15-1ubuntu2
libxcb-dri3-0:amd64	1.15-1ubuntu2
libxcb-glx0:amd64	1.15-1ubuntu2
libxcb-present0:amd64	1.15-1ubuntu2
libxcb-randr0:amd64	1.15-1ubuntu2
libxcb-render0:amd64	1.15-1ubuntu2
libxcb-shape0:amd64	1.15-1ubuntu2
libxcb-shm0:amd64	1.15-1ubuntu2
libxcb-sync1:amd64	1.15-1ubuntu2
libxcb-xfixes0:amd64	1.15-1ubuntu2
libxcb1:amd64	1.15-1ubuntu2
libxcomposite1:amd64	1:0.4.5-1build3
libxcursor1:amd64	1:1.2.1-1build1
libxdamage1:amd64	1:1.1.6-1build1
libxdmcp6:amd64	1:1.1.3-0ubuntu6
libxext6:amd64	2:1.3.4-1build2
libxfixes3:amd64	1:6.0.0-2build1
libxft2:amd64	2.3.6-1build1
libxi6:amd64	2:1.8.1-1build1
libxinerama1:amd64	2:1.1.4-3build1
libxkbcommon0:amd64	1.6.0-1build1
libxkbfile1:amd64	1:1.1.0-1build4
libxml-parser-perl	2.47-1build3
libxml-twig-perl	1:3.52-2
libxml-xpathengine-perl	0.14-2
libxml2-dev:amd64	2.9.14+dfsg-1.3ubuntu3.5
libxml2:amd64	2.9.14+dfsg-1.3ubuntu3.5
libxmlb2:amd64	0.3.18-1
libxmu6:amd64	2:1.1.3-3build2
libxmuu1:amd64	2:1.1.3-3build2
libxpm4:amd64	1:3.5.17-1build2
libxrandr2:amd64	2:1.5.2-2build1
libxrender1:amd64	1:0.9.10-1.1build1
libxshmfence1:amd64	1.3-1build5
libxslt1.1:amd64	1.1.39-0exp1ubuntu0.24.04.2
libxt6t64:amd64	1:1.2.1-1.2build1
libxtables12:amd64	1.8.10-3ubuntu2
libxtst6:amd64	2:1.2.3-1.1build1
libxv1:amd64	2:1.0.11-1.1build1
libxxf86dga1:amd64	2:1.1.5-1build1
libxxf86vm1:amd64	1:1.1.4-1build4
libxxhash0:amd64	0.8.2-2build1
libyaml-0-2:amd64	0.2.5-1build1
libz3-4:amd64	4.8.12-3.1build1
libz3-dev:amd64	4.8.12-3.1build1
libzstd1:amd64	1.5.5+dfsg2-2build1.1
linux-base	4.5ubuntu9+24.04.1
linux-firmware	20240318.git3b128b60-0ubuntu2.17
linux-headers-6.8.0-83-lowlatency	6.8.0-83.83.1
